Nº,Nombre legal,Nombre comercial,Nombre abreviado,Código fiscal,Tipo,Idioma,Estado,Razón de cambio,Fecha de fundación,Registro (número),Registro (ciudad),Objeto social,Observaciones,Categoría,Grupo Empresarial,Empresa padre,Productos,Servicios,Marcas,Certificaciones,Blog,Linkedin,Facebook,Twitter,Skype,Web,Número de impuestos,Saludo,País,Región,Provincia,Código postal,Localidad,Localidad (extensión),Dirección,Ap. Postal (número),Ap. Postal (código postal),Ap. Postal (ciudad),E-Mail 1,E-Mail 2,Teléfono 1,Teléfono 2,Móvil 1,Móvil 2,Fax 1,Fax 2,Código industrial,Código industrial,Rangos de empleados,Empleados 2018,Empleados 2017,Empleados 2016,Empleados 2015,Empleados 2014,Rango de facturación,Facturación 2018,Facturación 2017,Facturación 2016,Facturación 2015,Facturación 2014,Subsidiarias,Socio,Socio (Nr.),Membresía (Tipo),Membresía (Cargo),Cuota (Precio),Moneda de pago,Observaciones,Fecha de inicio,Fecha de fin,Razón de finalización,Factura (número),Factura (fecha),Factura (producto),Factura (valor),Pago (fecha),Pago (estado),Ejecutivo de Cuenta:,Origen del capital,Tamaño de empresa,+,-,+,-,+,-,+,-,+,-,Notas:,Observaciones,Administrador,Contacto principal,Contacto clave,Dirección General,Operaciones,Investigación,Administración,Marketing,RRHH,Finanzas,Ventas,Jurídica,Logística,Producción,Comunicación,Soporte al Cliente,IT
11,International Satelital Service Isse,ISSE EXPRESS,ISSE EXPRESS,1551,Empresa,ES,1,,12/01/2018,,,,Facturar a nombre de: Sonia Aimee Karenina Moir Sandoval,Servicios,,,,importación y exportación de documentos y paquetes a cualquier parte del mundo.,Customs/ Logistics/Multimodal Transport,,,,https://www.facebook.com/iseeguatemala/,,,https://www.isseexpress.com,2055262-9,,GT,,,,Quetzaltenango,Quetzaltenango,"4a. Calle 23-29 zona 3 Plaza La Villa, Quetzaltenango",,,,hmota@isseexpress.com,,77658084,78326888,,,,,,,de 1 a 25,,,,,,"USD$101,000 - 1,200,000",,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,24/04/2018,,,,,,,,,"Ramírez,Mariana",Multinacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Sistema Global de Protección de Equipaje de Guatemala, S.A",SECURE WRAP,SECURE WRAP,1557,Empresa,ES,1,,,,,,,Servicios,,,,protección de equipaje por medio de pelicula plástica de seguridad y call center de atención al pasajero,Security Consultants and Services,,,,,,,https://www.securewrap.com,830562-5,,GT,,,,Guatemala,Guatemala,Diagonal 6 12-42 zona 10 Torre 1 Oficina 405,,,,guatemala@securewrap.com,,24419670,,3058709720,,,,,,de 1 a 25,,,,,,"USD$101,000 - 1,200,000",,,,,,,1,,Empresarial,,,GTQ,,15/05/2018,,,,,,,,,"Ramírez,Mariana",Multinacional,Pequeña,,"País:United States |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Guatemala Contact Services Company S.A,[247].AI GUATEMALA,[247].AI GUATEMALA,4070,Empresa,ES,1,,,,,,,Servicios,,,,contact center & bpo (business process outsourcing),Contact Center and BPO (Business Process Outsourcing),,,247 Guatemala,247 Guatemala,@247Guatemala,,https://www.247.ai/,5429022-8,,US,,,,Guatemala,Mixco,Km. 13 Calzada Roosevelt 12-33 Zona 3,,,,info@247guatemala.com,,2470-9999,,,,,,,,,,,,,,,,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,11/08/2009,,,,,,,,,"Ramirez, Mariana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"3M Guatemala, S.A.","3M GUATEMALA, S.A.","3M GUATEMALA, S.A.",1,Empresa,ES,1,,25/07/1971,,,,,Industria,,,,,Abrasive and Adhesive Product,,,,https://www.facebook.com/Productos-3M-Guatemala-735554239973886,,,,571178-9,,US,,,,Guatemala,Guatemala,"Km. 13 Calzada Roosevelt 12-33 Zona 3, Mixco, Guatemala",,,,cdegarcia@mmm.com,,23793636,,,,,,,,de 26 a 100,100,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,19/08/1974,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Creación, S.A",4AM SAATCHI & SAATCHI,4AM SAATCHI & SAATCHI,105,Empresa,ES,1,,08/11/1976,,,,,Servicios,,,,marketing services / marketing investigations.,Public Relations Agency,,,,https://www.facebook.com/4amsaatchi/,,,https://www.4amsaatchi.com/,134054-9,,GB,,,,Guatemala,Guatemala,"16 Calle 1-01 Zona 10, Centro CC Plaza Obelisco",,,,info@4amsaatchisaatchi.com,,24291111,,,,,,,,de 26 a 100,109,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,16/11/1993,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"A.D. Sosa & Soto, S.C.",A.D. SOSA & SOTO,"A.D. SOSA & SOTO, S.C.",570,Empresa,ES,1,,21/07/2004,,,,,Servicios,,,,,Attorney and legal consultants/Law Firm,,,,,,,https://www.adsosasoto.com,3722892-7,,GT,,,,Guatemala,Guatemala,"15 Calle ""A"" 14-44, Zona 10, Edificio Mariamelia, Oficina 702, Ciudad, Guatemala",,,,info@adsosasoto.com,,23842900,,,,,,,,de 1 a 25,21,,,,,"USD$1,201,000 - 5,000,000",,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,28/01/2003,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Agentes Portuarios del Pacífico, S.A",APOPSA,APOPSA,87,Empresa,ES,1,,20/08/1984,,,,,Servicios,,,,maritime transport air and land customs procedures safe to the load around the world,Cargo Agency,,,,https://www.facebook.com/APOPSA/,,,https://www.apopsa.com,683335-7,,GT,,,,Guatemala,Guatemala,"Avenida Reforma 8-60 Zona 9, Edificio Galerías Reforma, Torre II Oficina 705, Ciudad, Guatemala",,,,apopsa@apopsa.com,,23262100,,,,,,,,de 1 a 25,17,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,Formulario anterior de Coirsa 13/07/1999.,13/07/1999,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Agencia de Asuntos Regulatorios, S.A",AARSA,AARSA,709,Empresa,ES,1,,14/08/2004,,,,,Servicios,,AARSA,,regulatory services agency and consultants.,Regulatory Services Agency & Consultants,,,,https://www.facebook.com/AARSAGT/,@AARSAGT,,https://www.aarsa.com,3739646-3,,GT,,,,Guatemala,Guatemala,"25 Avenida 1-89 zona 15, Vista Hermosa II, Edificios Insigne, Of. 1209, Nivel 9, Guatemala, Guatemal",,,,info@aarsa.com,gerencia@aarsa.com,22781837,22781839,,,,,,,de 1 a 25,9,,,,,"USD$101,000 - 1,200,000",0,,,,,"Agencia de Asuntos Regulatorios, S.A; ",1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,20/06/2005,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Asea Brown Boberi, S.A","ABB, S.A.","ABB, S.A.",1017,Empresa,ES,1,,01/01/1998,,,,,Comercio,,,,electric power generation.,Electrical Power Generation,,,company/abb,https://www.facebook.com/ABB/,@abbgroupnews,,https://www.abb.com.pa,2442210-K,,CH,,,,Guatemala,Guatemala,"Km 30.5 Carretera a Palin Bodega 21 A Urbanizacion Del Sur Amatitlan, Guatemala, C.A.",,,,contact.center@pa.abb.com,,66715757,,,,,,,,de 1 a 25,15,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,07/09/2009,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Abbott Laboratorios, S.A","ABBOTT LABORATORIOS, S.A.","ABBOTT LABORATORIOS, S.A.",2,Empresa,ES,1,,01/01/1996,,,,,Industria,,,productos farmacéuticos y nutricionales,,Pharmaceutical Products,,,,https://www.facebook.com/pages/Laboratorios-Abbott-Guatemala/324462327674669,,,http://www.latam.abbott/homepage.html,67151-7,,US,,,,Guatemala,Guatemala,"5a. Avenida 5-55 Zona 14, Edif. Europlaza Torre I, Nivel 10 Ciudad, Guatemala",,,,carlos.hernandez@abbott.com,,24209797,,,,,,,,de 101 a 250,150,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,04/12/1967,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"AbbVie, S.A","ABBVIE, S.A.","ABBVIE, S.A.",1320,Empresa,ES,1,,24/09/2013,,,,,Industria,,,productos farmacéuticos,,Pharmaceutical Products,,,AbbVie,https://www.facebook.com/AbbVieGlobal/,@abbvie,,https://www.abbvie.com,8341385-5,,US,,,,Guatemala,Guatemala,"Diagonal 6 10-50 Zona 10, Edificio Interamericas, Torre Norte Nivel 16,  Oficina 1601, Ciudad, Guate",,,,info@abbvie.com,,22103000,,,,,,,,de 101 a 250,105,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C03,El producto no tiene precio para el país del cliente,GTQ,,04/03/2014,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Mediana,,"País:United States |
Ciudad: ",,"País:Netherlands |
Ciudad: ",,"País:Argentina |
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,
22,Academia Europea S.A,ACADEMIA EUROPEA,ACADEMIA EUROPEA,855,Inst. Educativa,ES,1,,01/05/2000,,,,,Servicios,,ACADEMIA EUROPEA,,language teaching.,Education Services,,,ACADEMIA EUROPEA,https://www.facebook.com/AcademiaEuropeaGuatemala/?brand_redir=146145185428110,@ACADEMIAEUROPEA,,https://www.academiaeuropea.com,2441367-4,,SV,,,,Guatemala,Guatemala,"15 Calle 2-64 Zona 10, Ciudad, Guatemala",,,,guatemala@academiaeuropea.com,,22030000,,,,,,,,de 101 a 250,180,,,,,"USD$101,000 - 1,200,000",0,,,,,Academia Europea S.A; ,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,08/11/2013,01/01/1800,,,,,,,,"Ramírez,Mariana",Multinacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Aguilar Castillo Love Guatemala, S.A",ACL GUATEMALA,AGUILAR CASTILLO LOVE,4230,Empresa,ES,1,,14/02/2012,,,,,Servicios,,,,attorney and legal consultants/law firms,Attorney and legal consultants/Law Firm,,,,,,,https://www.aguilarcastillolove.com/,7832509-9,,GT,,,,Guatemala,Guatemala,"7a. Avenida 5-10 Zona 4, Centro Financiero Torre II, Nivel 11, Oficina 1, Ciudad, Guatemala",,,,inh@aguilaracastillolove.com,,24957200,24957272,,,,,,,de 1 a 25,2,,,,,"Menos de USD$100,000.00",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,10/11/2010,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Aeropost de Guatemala, S.A",AEROPOST.COM,AEROPOST.COM,1261,Empresa,ES,1,,07/07/1986,,,,,Servicios,,,,internet purchases and courier services,E-Commerce,,,,https://www.facebook.com/aeropost.comGuate/?ref=br_rs&brand_redir=23290334950,,,https://www.aeropost.com,5534704-5,,CR,,,,Guatemala,Sta. Catarina Pinula,"20 Calle Final Km. 6.8 Carretera a Muxbal Z.4, El Cambray Complejo Pradera Ofibodegas #18, Sta. Cata",,,,servicio.gua@aeropost.com,,24903000,,,,,,,,de 26 a 100,40,,,,,"USD$1,201,000 - 5,000,000",0,,,,,,1,,Empresarial,C01,El producto no tiene precio para el país del cliente,GTQ,,19/04/2013,01/01/1800,,,,,,,,"Ramírez,Mariana",Franquicias,Mediana,"País:Costa Rica|
Ciudad: ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Agencia Farmacéutica Internacional, S.A",AGEFINSA,AGEFINSA,1529,Empresa,ES,1,,01/01/1800,,,,,Comercio,,,,,Pharmaceutical Products,,,,https://www.facebook.com/pg/Agefinsa/about/?ref=page_internal,,,https://www.agefinsa.com.gt,747727-9,,GT,,,,Guatemala,Guatemala,2a Calle 32-77 zona 7 ofibodegas San Mateo No. 14 y 15,,,,info@agefinsa.com.gt,administracion@agenfinsa.com.gt,22178200,,,,,,,,de 26 a 100,91,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C03,0 GTQ | 0 USD | ,GTQ,,30/10/2017,01/01/1800,,,,,,,,"Ramirez, Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Agencia Independiente de Seguros y Fianzas Arrend, S.A","AGENCIA INDEPENDIENTE DE SEGUROS Y FIANZAS ARREND, S.A.",ARREND SEGUROS,1245,Empresa,ES,1,,01/05/2008,,,,,Servicios,,,,"automobile insurance, damage insurance, life insurance and medical expenses.",Insurance Companies/Brokers,,,,https://www.facebook.com/ArrendGuatemala/,,,https://www.arrendleasing.com,42158729,,GT,,,,Guatemala,Guatemala,"7a. Avenida 7-07 Zona 9, Nivel 7 Edificio Arrend, Ciudad, Guatemala",,,,seguros@arrendleasing.com,,22293131,22181818,,,,,,,de 1 a 25,8,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Corporativa,C08,0 GTQ | 0 USD | ,GTQ,,08/01/2013,01/01/1800,,,,,,,,"Ramirez, Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"Agencia Marítima Global, S.A.",AGENCIA MARÍTIMA GLOBAL S.A.,AGENCIA MARÍTIMA GLOBAL S.A.,12,Empresa,ES,1,,28/06/1994,,,,,Servicios,,,,transportation services,Customs/Logistics/Multimodal Transport,,,,,,,,708266-5,,GT,,,,Guatemala,Guatemala,"13 Calle 3-40 Zona 10, Edificio Atlantis 8o. Nivel, Of. 802, Ciudad, Guatemala",,,,agencia@sinemail.com,,24208800,,,,,,,,,0,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,"En el expediente se encuentran dos formulario fisico, el primer formulario es del 11/ 09/1998 y el segundo con fecha 11/02/2005.",11/02/2005,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Agencias J.I. Cohen, S.A.","AGENCIAS J.I. COHEN, S.A.","AGENCIAS J.I. COHEN, S.A.",1316,Empresa,ES,1,,01/03/1952,,,,,Industria,,,"medicamentos, equipos para la salud.",,Pharmaceutical Products,,,,https://www.facebook.com/pages/Agencias-JI-Cohen/262016920480107,,,https://www.jicohen.com,7289095-9,,GT,,,,Guatemala,Mixco,"Km. 14 Calzada Roosevelt 6-19 zona 3, Mixco, Guatemala 01057",,,,agenciasjicohen@jicohen.com,,23281000,,,,,,,,de 501 a 1000,580,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,26/02/2014,01/01/1800,,,,,,,,"Requena, Annemarie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Agencias Unidas de Guatemala, S.A","AGENCIAS UNIDAS DE GUATEMALA, S.A.","AGENCIAS UNIDAS DE GUATEMALA, S.A.",13,Empresa,ES,1,,01/11/1936,,,,,Comercio,,,"ventas de materiales de artes gráficas, representaciones de lineas navieras y seguros",,Loading/Unloading of Vessels,,,,,,,,32517-1,,GT,,,,Guatemala,Guatemala,12 Calle ,,,,merunidas@gmail.com,,24446400,,,,,,,,,20,,,,,"USD$101,000 - 1,200,000",,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,24/11/2004,,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Agrícola Tierra Nueva, S.A",AGRÍCOLA TIERRA NUEVA,AGRÍCOLA TIERRA NUEVA,1105,Empresa,ES,1,,04/09/2000,,,,,Comercio,,,"snow peas, sugar snap, french beans, suchinni, baby carrots, radicchio, baby corn",,Food Products Manufactureres and Distributors,,,,https://www.facebook.com/Agricola-Tierra-Nueva-SA-594564197270139/,,,https://www.agricolatn.com,2443818-9,,GT,,,,Guatemala,Sn. Bartolome Milpas Altas,"Km. 30.2 0 Calle 0-46 Zona 4, San Bartolomé Milpas Altas, Guatemala",,,,agricolatn@yahoo.com,,78304646,,,,,,,,de 101 a 250,200,,,,,"USD$101,000 - 1,200,000",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,04/02/2011,01/01/1800,,,,,,,,"Ramírez,Mariana",Nacional,Pequeña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Agroamerica Guatemala, S.A",AGROAMERICA,AGROAMERICA,99,Empresa,ES,1,,21/05/1947,,,,,Agro-industria,,,banano,,Food/Products/Manufacturers and Distributors,,,Agroamerica Latin America,https://www.facebook.com/agroamerica/,agroamerica,,https://www.agroamerica.com,3368885-0,,GT,,,,Guatemala,Guatemala,"Vía 5, 5-34 Zona 4, Nivel 11, Centro Financiero Torre III, Ciudad, Guatemala.",,,,mdelapena@agroamerica.com,,24209600,22854100,,,,,,,más de 1000,1000,,,,,"Más de USD$5,000,001",0,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,"Socio activo, sin expediente físico.
",26/11/2004,01/01/1800,,,,,,,,"Requena, Annemarie",Nacional,Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"Agrocumbre, S.A",KULTIVA ORGANICS,KULTIVA ORGANICS,1532,Empresa,ES,1,,02/08/2013,,,,,Agro-industria,,,Agricultural Products,,Agricultural Products/Agrochemicals/Machinery,,,-,www.facebook.com/Agrocumbre/,-,,https://www.kultivaorganics.com,8423016-9,,GT,,,,Guatemala,Guatemala,Av. Reforma 9-00 zona 9. Edificio Plaza Panamericana Nivel 7 Oficina 7B,,,,info@kultivaorganics.com,,22259900,,,,,,,,,200,,,,,"USD$101,000 - 1,200,000",,,,,,,1,,Empresarial,C01,0 GTQ | 0 USD | ,GTQ,,14/12/2017,,,,,,,,,"Ramírez,Mariana",Nacional,Mediana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
